team,season,poll,week,rank,date
Texas,2025,AP,1,1,2025-11-24T19:53:36.438Z
Penn State,2025,AP,1,2,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,1,3,2025-11-24T19:53:36.438Z
Clemson,2025,AP,1,4,2025-11-24T19:53:36.438Z
Georgia,2025,AP,1,5,2025-11-24T19:53:36.438Z
Notre Dame,2025,AP,1,6,2025-11-24T19:53:36.438Z
Oregon,2025,AP,1,7,2025-11-24T19:53:36.438Z
Alabama,2025,AP,1,8,2025-11-24T19:53:36.438Z
LSU,2025,AP,1,9,2025-11-24T19:53:36.438Z
Miami,2025,AP,1,10,2025-11-24T19:53:36.438Z
Arizona State,2025,AP,1,11,2025-11-24T19:53:36.438Z
Illinois,2025,AP,1,12,2025-11-24T19:53:36.438Z
South Carolina,2025,AP,1,13,2025-11-24T19:53:36.438Z
Michigan,2025,AP,1,14,2025-11-24T19:53:36.438Z
Florida,2025,AP,1,15,2025-11-24T19:53:36.438Z
SMU,2025,AP,1,16,2025-11-24T19:53:36.438Z
Kansas State,2025,AP,1,17,2025-11-24T19:53:36.438Z
Oklahoma,2025,AP,1,18,2025-11-24T19:53:36.438Z
Texas A&M,2025,AP,1,19,2025-11-24T19:53:36.438Z
Indiana,2025,AP,1,20,2025-11-24T19:53:36.438Z
Ole Miss,2025,AP,1,21,2025-11-24T19:53:36.438Z
Iowa State,2025,AP,1,22,2025-11-24T19:53:36.438Z
Texas Tech,2025,AP,1,23,2025-11-24T19:53:36.438Z
Tennessee,2025,AP,1,24,2025-11-24T19:53:36.438Z
Boise State,2025,AP,1,25,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,2,1,2025-11-24T19:53:36.438Z
Penn State,2025,AP,2,2,2025-11-24T19:53:36.438Z
LSU,2025,AP,2,3,2025-11-24T19:53:36.438Z
Georgia,2025,AP,2,4,2025-11-24T19:53:36.438Z
Miami,2025,AP,2,5,2025-11-24T19:53:36.438Z
Oregon,2025,AP,2,6,2025-11-24T19:53:36.438Z
Texas,2025,AP,2,7,2025-11-24T19:53:36.438Z
Clemson,2025,AP,2,8,2025-11-24T19:53:36.438Z
Notre Dame,2025,AP,2,9,2025-11-24T19:53:36.438Z
South Carolina,2025,AP,2,10,2025-11-24T19:53:36.438Z
Illinois,2025,AP,2,11,2025-11-24T19:53:36.438Z
Arizona State,2025,AP,2,12,2025-11-24T19:53:36.438Z
Florida,2025,AP,2,13,2025-11-24T19:53:36.438Z
Florida State,2025,AP,2,14,2025-11-24T19:53:36.438Z
Michigan,2025,AP,2,15,2025-11-24T19:53:36.438Z
Iowa State,2025,AP,2,16,2025-11-24T19:53:36.438Z
SMU,2025,AP,2,17,2025-11-24T19:53:36.438Z
Oklahoma,2025,AP,2,18,2025-11-24T19:53:36.438Z
Texas A&M,2025,AP,2,19,2025-11-24T19:53:36.438Z
Ole Miss,2025,AP,2,20,2025-11-24T19:53:36.438Z
Alabama,2025,AP,2,21,2025-11-24T19:53:36.438Z
Tennessee,2025,AP,2,22,2025-11-24T19:53:36.438Z
Indiana,2025,AP,2,23,2025-11-24T19:53:36.438Z
Texas Tech,2025,AP,2,24,2025-11-24T19:53:36.438Z
Utah,2025,AP,2,25,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,3,1,2025-11-24T19:53:36.438Z
Penn State,2025,AP,3,2,2025-11-24T19:53:36.438Z
LSU,2025,AP,3,3,2025-11-24T19:53:36.438Z
Oregon,2025,AP,3,4,2025-11-24T19:53:36.438Z
Miami,2025,AP,3,5,2025-11-24T19:53:36.438Z
Georgia,2025,AP,3,6,2025-11-24T19:53:36.438Z
Texas,2025,AP,3,7,2025-11-24T19:53:36.438Z
Notre Dame,2025,AP,3,8,2025-11-24T19:53:36.438Z
Illinois,2025,AP,3,9,2025-11-24T19:53:36.438Z
Florida State,2025,AP,3,10,2025-11-24T19:53:36.438Z
South Carolina,2025,AP,3,11,2025-11-24T19:53:36.438Z
Clemson,2025,AP,3,12,2025-11-24T19:53:36.438Z
Oklahoma,2025,AP,3,13,2025-11-24T19:53:36.438Z
Iowa State,2025,AP,3,14,2025-11-24T19:53:36.438Z
Tennessee,2025,AP,3,15,2025-11-24T19:53:36.438Z
Texas A&M,2025,AP,3,16,2025-11-24T19:53:36.438Z
Ole Miss,2025,AP,3,17,2025-11-24T19:53:36.438Z
South Florida,2025,AP,3,18,2025-11-24T19:53:36.438Z
Alabama,2025,AP,3,19,2025-11-24T19:53:36.438Z
Utah,2025,AP,3,20,2025-11-24T19:53:36.438Z
Texas Tech,2025,AP,3,21,2025-11-24T19:53:36.438Z
Indiana,2025,AP,3,22,2025-11-24T19:53:36.438Z
Michigan,2025,AP,3,23,2025-11-24T19:53:36.438Z
Auburn,2025,AP,3,24,2025-11-24T19:53:36.438Z
Missouri,2025,AP,3,25,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,4,1,2025-11-24T19:53:36.438Z
Penn State,2025,AP,4,2,2025-11-24T19:53:36.438Z
LSU,2025,AP,4,3,2025-11-24T19:53:36.438Z
