teamId,season,coach,spPlus,elo,returningProduction,wins,losses,ties,confWins,confLosses
abilene-christian,2025,,,, ,0,0,0,0,0
air-force,2025,,-5.8,1350, ,0,0,0,0,0
akron,2025,,-13.7,1101, ,0,0,0,0,0
alabama,2025,,21,1966, ,0,0,0,0,0
alabama-am,2025,,,, ,0,0,0,0,0
alabama-state,2025,,,, ,0,0,0,0,0
alcorn-state,2025,,,, ,0,0,0,0,0
app-state,2025,,-10.6,1252, ,0,0,0,0,0
arizona,2025,,13,1651, ,0,0,0,0,0
arizona-state,2025,,6.5,1653, ,0,0,0,0,0
arkansas,2025,,6.7,1588, ,0,0,0,0,0
arkansas-pine-bluff,2025,,,, ,0,0,0,0,0
arkansas-state,2025,,-9.9,1302, ,0,0,0,0,0
army,2025,,-2.5,1504, ,0,0,0,0,0
auburn,2025,,12.5,1660, ,0,0,0,0,0
austin-peay,2025,,,, ,0,0,0,0,0
ball-state,2025,,-20.7,1018, ,0,0,0,0,0
baylor,2025,,1.4,1526, ,0,0,0,0,0
bethune-cookman,2025,,,, ,0,0,0,0,0
boise-state,2025,,5.3,1621, ,0,0,0,0,0
boston-college,2025,,-11.8,1311, ,0,0,0,0,0
bowling-green,2025,,-15.7,1230, ,0,0,0,0,0
brown,2025,,,, ,0,0,0,0,0
bryant,2025,,,, ,0,0,0,0,0
bucknell,2025,,,, ,0,0,0,0,0
buffalo,2025,,-8,1288, ,0,0,0,0,0
butler,2025,,,, ,0,0,0,0,0
byu,2025,,17.3,1781, ,0,0,0,0,0
california,2025,,-4.1,1351, ,0,0,0,0,0
cal-poly,2025,,,, ,0,0,0,0,0
campbell,2025,,,, ,0,0,0,0,0
central-arkansas,2025,,,, ,0,0,0,0,0
central-connecticut,2025,,,, ,0,0,0,0,0
central-michigan,2025,,-4.4,1291, ,0,0,0,0,0
charleston-southern,2025,,,, ,0,0,0,0,0
charlotte,2025,,-25.5,1035, ,0,0,0,0,0
chattanooga,2025,,,, ,0,0,0,0,0
cincinnati,2025,,8.3,1569, ,0,0,0,0,0
clemson,2025,,9.2,1727, ,0,0,0,0,0
coastal-carolina,2025,,-11.5,1228, ,0,0,0,0,0
colgate,2025,,,, ,0,0,0,0,0
colorado,2025,,-6.8,1338, ,0,0,0,0,0
colorado-state,2025,,-14.5,1191, ,0,0,0,0,0
columbia,2025,,,, ,0,0,0,0,0
cornell,2025,,,, ,0,0,0,0,0
dartmouth,2025,,,, ,0,0,0,0,0
davidson,2025,,,, ,0,0,0,0,0
dayton,2025,,,, ,0,0,0,0,0
delaware,2025,,-12.6,1266, ,0,0,0,0,0
delaware-state,2025,,,, ,0,0,0,0,0
drake,2025,,,, ,0,0,0,0,0
duke,2025,,3.7,1573, ,0,0,0,0,0
duquesne,2025,,,, ,0,0,0,0,0
east-carolina,2025,,6,1491, ,0,0,0,0,0
eastern-illinois,2025,,,, ,0,0,0,0,0
eastern-kentucky,2025,,,, ,0,0,0,0,0
eastern-michigan,2025,,-14.3,1246, ,0,0,0,0,0
eastern-washington,2025,,,, ,0,0,0,0,0
east-tennessee-state,2025,,,, ,0,0,0,0,0
east-texas-am,2025,,,, ,0,0,0,0,0
elon,2025,,,, ,0,0,0,0,0
florida,2025,,0.5,1543, ,0,0,0,0,0
florida-am,2025,,,, ,0,0,0,0,0
florida-atlantic,2025,,-7.7,1263, ,0,0,0,0,0
florida-international,2025,,-9.7,1343, ,0,0,0,0,0
florida-state,2025,,10.1,1606, ,0,0,0,0,0
fordham,2025,,,, ,0,0,0,0,0
fresno-state,2025,,-1.2,1478, ,0,0,0,0,0
furman,2025,,,, ,0,0,0,0,0
gardner-webb,2025,,,, ,0,0,0,0,0
georgetown,2025,,,, ,0,0,0,0,0
georgia,2025,,24.3,2048, ,0,0,0,0,0
georgia-southern,2025,,-12.1,1250, ,0,0,0,0,0
georgia-state,2025,,-23.6,1104, ,0,0,0,0,0
georgia-tech,2025,,8.8,1573, ,0,0,0,0,0
grambling,2025,,,, ,0,0,0,0,0
hampton,2025,,,, ,0,0,0,0,0
harvard,2025,,,, ,0,0,0,0,0
hawai'i,2025,,-1.1,1421, ,0,0,0,0,0
holy-cross,2025,,,, ,0,0,0,0,0
houston,2025,,7.3,1479, ,0,0,0,0,0
houston-christian,2025,,,, ,0,0,0,0,0
howard,2025,,,, ,0,0,0,0,0
idaho,2025,,,, ,0,0,0,0,0
idaho-state,2025,,,, ,0,0,0,0,0
illinois,2025,,10.7,1576, ,0,0,0,0,0
illinois-state,2025,,,, ,0,0,0,0,0
incarnate-word,2025,,,, ,0,0,0,0,0
indiana,2025,,29.9,2142, ,0,0,0,0,0
indiana-state,2025,,,, ,0,0,0,0,0
iowa,2025,,15.4,1902, ,0,0,0,0,0
iowa-state,2025,,9.5,1655, ,0,0,0,0,0
jackson-state,2025,,,, ,0,0,0,0,0
jacksonville-state,2025,,-5.2,1501, ,0,0,0,0,0
james-madison,2025,,12.5,1874, ,0,0,0,0,0
kansas,2025,,3.8,1499, ,0,0,0,0,0
kansas-state,2025,,6.1,1680, ,0,0,0,0,0
kennesaw-state,2025,,-1.5,1385, ,0,0,0,0,0
kent-state,2025,,-19.6,974, ,0,0,0,0,0
kentucky,2025,,4.6,1578, ,0,0,0,0,0
lafayette,2025,,,, ,0,0,0,0,0
lamar,2025,,,, ,0,0,0,0,0
lehigh,2025,,,, ,0,0,0,0,0
liberty,2025,,-8,1457, ,0,0,0,0,0
lindenwood,2025,,,, ,0,0,0,0,0
